Platform,Category,Subcategories,Summary,Unique Factor,Data Types (Clean),Price,Data Provided
"<b>GenePattern</b>:<br></br><a href=""https://www.genepattern.org/""style=""color: #be3b2a"" target=""_blank""<div title=""Main Link""> </div><img src=""resources/images/Hyperlink2.png""  height=""30""> </img></a><a href=""https://notebook.genepattern.org/docs/""style=""color: #be3b2a""target=""_blank""<div title=""Documentation""> </div><img src=""resources/images/Documentation2.png"" height=""30""> </img></a><a href=""https://www.genepattern.org/papers""style=""color: #be3b2a""target=""_blank""<div title=""Publications""> </div><img src=""resources/images/Publication2.png"" height=""30""> </img></a><br></br><img src=""ITCRLogo.png"" height=""40""> </img>",Omics,"Genomics, Proteomics, Network Analysis","GenePattern is a genomic analysis platform that provides access to hundreds of tools for the analysis and visualization of multiple data types. A web-based interface provides easy access to these tools and allows the creation of multi-step analysis pipelines that enable reproducible in silico research. A new GenePattern Notebook environment allows users to combine GenePattern analyses with text, graphics, and code to create complete reproducible research narratives.","A web-based platform for genomic analysis; Allows for collaborative data, workflows, and pipelines","Sequence, Microarray, Flow Cytometry, Liquid Chromatography/Mass Spectrometry","<a href=""https://www.genepattern.org/""style=""color: #be3b2a"" target=""_blank""<div title=""Pricing Link""> </div>Free</a>",Curated Data Sources
"<b>QIIME 2</b>:<br></br><a href=""https://qiime2.org/""style=""color: #be3b2a"" target=""_blank""<div title=""Main Link""> </div><img src=""resources/images/Hyperlink2.png""  height=""30""> </img></a><a href=""https://docs.qiime2.org/2022.2/""style=""color: #be3b2a""target=""_blank""<div title=""Documentation""> </div><img src=""resources/images/Documentation2.png"" height=""30""> </img></a><a href=""https://docs.qiime2.org/2022.2/citation/""style=""color: #be3b2a""target=""_blank""<div title=""Publications""> </div><img src=""resources/images/Publication2.png"" height=""30""> </img></a><br></br><img src=""ITCRLogo.png"" height=""40""> </img>",Omics,Microbiome Analysis,"QIIME 2 is a microbiome bioinformatics platform that is widely used for investigation of the human microbiome, including studies investigating how our microbiota may impact carcinogenesis, how microbiota may impact the efficacy of cancer treatment, how cancer treatment may impact the microbiota, and associations between the microbiome and cancer prognosis. QIIME 2 was designed to ensure reproducible bioinformatics through its unqiue retrospective data provenance tracking system, and to facilitate accessibility to users with varying degrees of computational sophistication. QIIME 2 takes users from raw data through publication quality visualizations and statistics.",Open source; Free; Offers several tools for microbiome analysis,"Sequence, Metadata Analysis","<a href=""https://docs.qiime2.org/2021.11/install/native/""style=""color: #be3b2a"" target=""_blank""<div title=""Pricing Link""> </div>Free</a>","Greengenes, Silva, UNITE, Qiita, SEPP, Curated Data Sources"
"<b>The BioMedical Evidence Graph (BMEG)</b>:<br></br><a href=""https://bmeg.io/""style=""color: #be3b2a"" target=""_blank""<div title=""Main Link""> </div><img src=""resources/images/Hyperlink2.png""  height=""30""> </img></a><a href=""https://reporter.nih.gov/project-details/8840914""style=""color: #be3b2a""target=""_blank""<div title=""Documentation""> </div><img src=""resources/images/Documentation2.png"" height=""30""> </img></a><a href=""https://reporter.nih.gov/project-details/8840914""style=""color: #be3b2a""target=""_blank""<div title=""Publications""> </div><img src=""resources/images/Publication2.png"" height=""30""> </img></a><br></br><img src=""ITCRLogo.png"" height=""40""> </img>",Omics,Genomics,"The BMEG is a Cancer Data integration Platform that utilizes methods collected from DREAM challenges and applied to large datasets, such as the TCGA, and makes them avalible for analysis using a high performance graph database",This platform offers data from several sources and provides a simple-to-use graphing system to reference and analyze data,"Sequence, Publication Text, Pathway Analysis,","<a href=""https://www.synapse.org/#!Synapse:syn312572/wiki/60903""style=""color: #be3b2a"" target=""_blank""<div title=""Pricing Link""> </div>Free</a>","<a href=""https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga""style=""color: #be3b2a"" target=""_blank""<div title=""Resource Link""> </div>TCGA</a>, MC3, GTEx, PharmacoDB, <a href=""https://sites.broadinstitute.org/ccle/""style=""color: #be3b2a"" target=""_blank""<div title=""Resource Link""> </div>CCLE</a>, CTRP, GDSC, Ensembl, GO, MonDO, MSigDB, PFAM, PubChem, PubMed, VICCG2P, Pathway Commons, DGIDB"
"<b>P-Mart</b>:<br></br><a href=""https://pmart.labworks.org/index.html""style=""color: #be3b2a"" target=""_blank""<div title=""Main Link""> </div><img src=""resources/images/Hyperlink2.png""  height=""30""> </img></a><a href=""NA""style=""color: #be3b2a""target=""_blank""<div title=""Documentation""> </div><img src=""resources/images/Documentation2.png"" height=""30""> </img></a><a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7032029/""style=""color: #be3b2a""target=""_blank""<div title=""Publications""> </div><img src=""resources/images/Publication2.png"" height=""30""> </img></a><br></br><img src=""ITCRLogo.png"" height=""40""> </img>",Omics,Proteomics,"Web-based software platform to enable analysis and exploration of publicly available cancer proteomic datasets, such as those generated by the CPTAC program.","This is a low-investment, beginner friendly platform for proteomics imaging and analysis","Sequence, Proteome Datasets","<a href=""https://pmart.labworks.org/index.html""style=""color: #be3b2a"" target=""_blank""<div title=""Pricing Link""> </div>Free</a>","<a href=""https://proteomics.cancer.gov/programs/cptac""style=""color: #be3b2a"" target=""_blank""<div title=""Resource Link""> </div>CPTAC</a>, <a href=""https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga""style=""color: #be3b2a"" target=""_blank""<div title=""Resource Link""> </div>TCGA</a>"
"<b>Cancer-Related Analysis of Variants Toolkit (CRAVAT)</b>:<br></br><a href=""http://www.cravat.us/CRAVAT/""style=""color: #be3b2a"" target=""_blank""<div title=""Main Link""> </div><img src=""resources/images/Hyperlink2.png""  height=""30""> </img></a><a href=""http://www.cravat.us/CRAVAT/help.jsp#introduction""style=""color: #be3b2a""target=""_blank""<div title=""Documentation""> </div><img src=""resources/images/Documentation2.png"" height=""30""> </img></a><a href=""NA""style=""color: #be3b2a""target=""_blank""<div title=""Publications""> </div><img src=""resources/images/Publication2.png"" height=""30""> </img></a><br></br><img src=""ITCRLogo.png"" height=""40""> </img>",Omics,Genomics,"CRAVAT is a biologist-friendly platform for analysis of coding and non-coding cancer variants and has been extended to create the new Open-Custom Ranked Analysis of VAriants Toolkit, a configurable platform with community-developed annotation, visualization, and analysis tools. OpenCRAVAT provides an app store with 150+ tools, an interactive, richly detailed graphical interface, and is available for local or cloud-based installation. Webserver and Docker versions are also available for CRAVAT and OpenCRAVAT.",CRAVAT focuses on compiling tools for mutation interpretation; Can be used for other -omics resaerch as well,"Sequence, Variant Mapping, Sequence Structure Analysis","<a href=""http://www.cravat.us/CRAVAT/""style=""color: #be3b2a"" target=""_blank""<div title=""Pricing Link""> </div>Free</a>",No Data Provided
"<b>The Cancer Dependency Map Portal</b>:<br></br><a href=""https://depmap.org/portal/""style=""color: #be3b2a"" target=""_blank""<div title=""Main Link""> </div><img src=""resources/images/Hyperlink2.png""  height=""30""> </img></a><a href=""https://depmap.org/portal/documentation/""style=""color: #be3b2a""target=""_blank""<div title=""Documentation""> </div><img src=""resources/images/Documentation2.png"" height=""30""> </img></a><a href=""https://depmap.org/portal/publications/""style=""color: #be3b2a""target=""_blank""<div title=""Publications""> </div><img src=""resources/images/Publication2.png"" height=""30""> </img></a><br></br><img src=""ITCRLogo.png"" height=""40""> </img>",Omics,Genomics,"The DepMap Portal empowers researchers to make discoveries related to cancer vulnerabilities by providing open access to key datasets, analytical tools, and visualizations.",Scientists looking to map cancer dependancies should start here,"Sequence, Cellular Models, General Imaging, Modeling Data","<a href=""https://depmap.org/portal/download/""style=""color: #be3b2a"" target=""_blank""<div title=""Pricing Link""> </div>Free</a>",Curated Data Sources
"<b>cBioPortal for Cancer Genomics</b>:<br></br><a href=""http://www.cbioportal.org/""style=""color: #be3b2a"" target=""_blank""<div title=""Main Link""> </div><img src=""resources/images/Hyperlink2.png""  height=""30""> </img></a><a href=""https://docs.cbioportal.org/5.2-datasets/downloads#introduction""style=""color: #be3b2a""target=""_blank""<div title=""Documentation""> </div><img src=""resources/images/Documentation2.png"" height=""30""> </img></a><a href=""https://www.cbioportal.org/tutorials""style=""color: #be3b2a""target=""_blank""<div title=""Publications""> </div><img src=""resources/images/Publication2.png"" height=""30""> </img></a><br></br><img src=""ITCRLogo.png"" height=""40""> </img>",Omics,Genomics,"The cBioPortal for Cancer Genomics provides visualization, analysis and download of large-scale cancer genomics data sets.",This platform offers tools that allow researchers to specifically explore genes or pathways of interest; Open Source,"Sequence, EMR Text,","<a href=""http://www.cbioportal.org/""style=""color: #be3b2a"" target=""_blank""<div title=""Pricing Link""> </div>Free</a>","<a href=""https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga""style=""color: #be3b2a"" target=""_blank""<div title=""Resource Link""> </div>TCGA</a>, <a href=""https://ocg.cancer.gov/programs/target""style=""color: #be3b2a"" target=""_blank""<div title=""Resource Link""> </div>TARGET</a>"
"<b>Galaxy-P multi-omics</b>:<br></br><a href=""http://galaxyp.org/""style=""color: #be3b2a"" target=""_blank""<div title=""Main Link""> </div><img src=""resources/images/Hyperlink2.png""  height=""30""> </img></a><a href=""https://training.galaxyproject.org/training-material/""style=""color: #be3b2a""target=""_blank""<div title=""Documentation""> </div><img src=""resources/images/Documentation2.png"" height=""30""> </img></a><a href=""http://galaxyp.org/publications/""style=""color: #be3b2a""target=""_blank""<div title=""Publications""> </div><img src=""resources/images/Publication2.png"" height=""30""> </img></a><br></br><img src=""ITCRLogo.png"" height=""40""> </img>",Omics,"Genomics, Proteomics, Metabolomics",A unified platform for integrative genomic-proteomic-metabolomic data analysis and informatics in cancer research.,Galaxy-P utilizes Galaxy as a framework to provide a platform that specifically works with spectrometry-based proteomics data analysis; This platform also offers wider proteomics and metabolomics research capabilities,Liquid Chromatography/Mass Spectrometry,"<a href=""http://galaxyp.org/access-galaxy-p/""style=""color: #be3b2a"" target=""_blank""<div title=""Pricing Link""> </div>Free</a>",Collaborative/User Data Sources
"<b>modelhub.ai</b>:<br></br><a href=""http://modelhub.ai/#""style=""color: #be3b2a"" target=""_blank""<div title=""Main Link""> </div><img src=""resources/images/Hyperlink2.png""  height=""30""> </img></a><a href=""https://modelhub.readthedocs.io/en/latest/""style=""color: #be3b2a""target=""_blank""<div title=""Documentation""> </div><img src=""resources/images/Documentation2.png"" height=""30""> </img></a><a href=""NA""style=""color: #be3b2a""target=""_blank""<div title=""Publications""> </div><img src=""resources/images/Publication2.png"" height=""30""> </img></a><br></br><img src=""ITCRLogo.png"" height=""40""> </img>",Omics,Clinical Modeling,Dissemination Platform for Deep Learning Algorithms,Modelhub hosts deep learning models freely available for use by researchers.,"Modeling Data, General Imgaging, Free Text","<a href=""http://modelhub.ai/#""style=""color: #be3b2a"" target=""_blank""<div title=""Pricing Link""> </div>Free</a>",Curated Data Sources
"<b>Overture</b>:<br></br><a href=""https://www.overture.bio/about-us/""style=""color: #be3b2a"" target=""_blank""<div title=""Main Link""> </div><img src=""resources/images/Hyperlink2.png""  height=""30""> </img></a><a href=""https://www.overture.bio/documentation/""style=""color: #be3b2a""target=""_blank""<div title=""Documentation""> </div><img src=""resources/images/Documentation2.png"" height=""30""> </img></a><a href=""https://github.com/overture-stack/billing/blob/develop/README.md""style=""color: #be3b2a""target=""_blank""<div title=""Publications""> </div><img src=""resources/images/Publication2.png"" height=""30""> </img></a><br></br><img src=""ITCRLogo.png"" height=""40""> </img>",Omics,Genomics,Overture is a platform designed to compile tools appropriate for genomic datasets.,Several collaborations with organizations like the Cancer Genome Collaboratory are linked through this platform; The data management system is a useful structure to build your own platform.,"Sequence,","<a href=""https://github.com/overture-stack/billing/blob/develop/README.md""style=""color: #be3b2a"" target=""_blank""<div title=""Pricing Link""> </div>Free</a>","<a href=""https://dcc.icgc.org/""style=""color: #be3b2a"" target=""_blank""<div title=""Resource Link""> </div>ICGC</a>, GDC, Cancer Genome Collaboratory, <a href=""https://www.cancer.gov/about-nci/organization/ccg/research/structural-genomics/tcga""style=""color: #be3b2a"" target=""_blank""<div title=""Resource Link""> </div>TCGA</a>, <a href=""https://ocg.cancer.gov/programs/target""style=""color: #be3b2a"" target=""_blank""<div title=""Resource Link""> </div>TARGET</a>, Kids First Data Resource Center"
