Name,Link (Hyperlinked Over Name),Subcategories ,Unique Factor,Data Types (Clean),Price,Documentation,Data Provided,Publications,Summary
GenePattern,https://www.genepattern.org/,"Genomics, Proteomics, Network Analysis","A web-based platform for genomic analysis; Allows for collaborative data, workflows, and pipelines","Sequence, Microarray, Flow Cytometry, Liquid Chromatography/Mass Spectrometry",Free,https://notebook.genepattern.org/docs/,Curated Data Sources,https://www.genepattern.org/papers,"GenePattern is a genomic analysis platform that provides access to hundreds of tools for the analysis and visualization of multiple data types. A web-based interface provides easy access to these tools and allows the creation of multi-step analysis pipelines that enable reproducible in silico research. A new GenePattern Notebook environment allows users to combine GenePattern analyses with text, graphics, and code to create complete reproducible research narratives."
QIIME 2,https://qiime2.org/,Microbiome Analysis,Open source; Free; Offers several tools for microbiome analysis,"Sequence, Metadata Analysis",Free,https://docs.qiime2.org/2022.2/,"Greengenes, Silva, UNITE, Qiita, SEPP, Curated Data Sources",https://docs.qiime2.org/2022.2/citation/,"QIIME 2 is a microbiome bioinformatics platform that is widely used for investigation of the human microbiome, including studies investigating how our microbiota may impact carcinogenesis, how microbiota may impact the efficacy of cancer treatment, how cancer treatment may impact the microbiota, and associations between the microbiome and cancer prognosis. QIIME 2 was designed to ensure reproducible bioinformatics through its unqiue retrospective data provenance tracking system, and to facilitate accessibility to users with varying degrees of computational sophistication. QIIME 2 takes users from raw data through publication quality visualizations and statistics."
The BioMedical Evidence Graph (BMEG),https://bmeg.io/,Genomics,This platform offers data from several sources and provides a simple-to-use graphing system to reference and analyze data,"Sequence, Publication Text, Pathway Analysis, ",Free,https://reporter.nih.gov/project-details/8840914,"TCGA, MC3, GTEx, PharmacoDB, CCLE, CTRP, GDSC, Ensembl, GO, MonDO, MSigDB, PFAM, PubChem, PubMed, VICCG2P, Pathway Commons, DGIDB",https://reporter.nih.gov/project-details/8840914,"The BMEG is a Cancer Data integration Platform that utilizes methods collected from DREAM challenges and applied to large datasets, such as the TCGA, and makes them avalible for analysis using a high performance graph database"
P-Mart,https://pmart.labworks.org/index.html,Proteomics,"This is a low-investment, beginner friendly platform for proteomics imaging and analysis","Sequence, Proteome Datasets",Free,,"CPTAC, TCGA",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7032029/,"Web-based software platform to enable analysis and exploration of publicly available cancer proteomic datasets, such as those generated by the CPTAC program."
Cancer-Related Analysis of Variants Toolkit (CRAVAT),http://www.cravat.us/CRAVAT/,Genomics,CRAVAT focuses on compiling tools for mutation interpretation; Can be used for other -omics resaerch as well,"Sequence, Variant Mapping, Sequence Structure Analysis",Free,http://www.cravat.us/CRAVAT/help.jsp#introduction,No Data Provided,,"CRAVAT is a biologist-friendly platform for analysis of coding and non-coding cancer variants and has been extended to create the new Open-Custom Ranked Analysis of VAriants Toolkit, a configurable platform with community-developed annotation, visualization, and analysis tools. OpenCRAVAT provides an app store with 150+ tools, an interactive, richly detailed graphical interface, and is available for local or cloud-based installation. Webserver and Docker versions are also available for CRAVAT and OpenCRAVAT."
The Cancer Dependency Map Portal,https://depmap.org/portal/,Genomics,Scientists looking to map cancer dependancies should start here,"Sequence, Cellular Models, General Imaging, Modeling Data",Free,https://depmap.org/portal/documentation/,Curated Data Sources,https://depmap.org/portal/publications/,"The DepMap Portal empowers researchers to make discoveries related to cancer vulnerabilities by providing open access to key datasets, analytical tools, and visualizations."
cBioPortal for Cancer Genomics,http://www.cbioportal.org/,Genomics,This platform offers tools that allow researchers to specifically explore genes or pathways of interest; Open Source,"Sequence, EMR Text, ",Free,https://docs.cbioportal.org/5.2-datasets/downloads#introduction,"TCGA, TARGET",https://www.cbioportal.org/tutorials,"The cBioPortal for Cancer Genomics provides visualization, analysis and download of large-scale cancer genomics data sets."
Galaxy-P multi-omics,http://galaxyp.org/,"Genomics, Proteomics, Metabolomics",Galaxy-P utilizes Galaxy as a framework to provide a platform that specifically works with spectrometry-based proteomics data analysis; This platform also offers wider proteomics and metabolomics research capabilities,Liquid Chromatography/Mass Spectrometry,N/A,https://training.galaxyproject.org/training-material/,Collaborative/User Data Sources,http://galaxyp.org/publications/,A unified platform for integrative genomic-proteomic-metabolomic data analysis and informatics in cancer research.
modelhub.ai,http://modelhub.ai/#,Clinical Modeling,Modelhub hosts deep learning models freely available for use by researchers.,"Modeling Data, General Imgaging, Free Text",Free,https://modelhub.readthedocs.io/en/latest/,Curated Data Sources,,Dissemination Platform for Deep Learning Algorithms
Overture,https://www.overture.bio/about-us/,Genomics,Several collaborations with organizations like the Cancer Genome Collaboratory are linked through this platform; The data management system is a useful structure to build your own platform.,"Sequence, ",Free,https://www.overture.bio/documentation/,"ICGC, GDC, Cancer Genome Collaboratory, TCGA, TARGET, Kids First Data Resource Center",https://github.com/overture-stack/billing/blob/develop/README.md,Overture is a platform designed to compile tools appropriate for genomic datasets. 
WebMeV,https://www.hsph.harvard.edu/qbrc/cloud-services/webmev/,Genomics,This platform focuses on large genomic data sets and NGS data; Free and open source,"Sequence, Microarray",Free,https://web-mev.github.io/,No Data Provided,https://webmev.tm4.org/#/about,"WebMeV is a cloud-based platoform that facilitates the analysis, visualization, and stratification of genomic datasets. "
AnVIL,https://anvilproject.org/,Genomics,This platform offers methods to visualize genomic analyses that may be conducted using Galaxy and Terra. ,General Data,Paid,https://help.anvilproject.org/,"NHGRI, CCDG, CMG, eMERGE",https://anvilproject.org/overview/publications,"AnVIL builds upon Galaxy and Terra to organize and store various genomics datasets. This platform has several catalogued bioinformatics tools, such as open-source R packages through its Bioconductor project."
Cancer Genome Collaboratory,https://cancercollaboratory.org/,"Genomics, Cloud Storage",Offers specific data access from the International Cancer Genome Consortium (ICGC). ,Sequence,Paid,https://cancercollaboratory.org/support/user-guides,"ICGC PCAWG, DCC",https://cancercollaboratory.org/publications-presentations,The Cancer Genome Collaboratory is a cloud resource that allows researchers to conduct comprehensive analysis on the International Cancer Genome Consortium datasets. 
Genomic Data Commons Data Portal,https://portal.gdc.cancer.gov/,Genomics,This platform provides one of the most straightforward interfaces for genomic data access. Several tools are also built-in to allow for easy analysis.,Sequence,Free,https://docs.gdc.cancer.gov/,"TCGA, TARGET",https://gdc.cancer.gov/about-data/publications,The GDC Data Portal is a platform that contains several archives of data resources available for search and download by researchers. This platform also contains a data trasfer tool among other helpful modules for quick data analysis. 
BaseSpace,https://login.illumina.com/platform-services-manager/?rURL=https://basespace.illumina.com&clientId=basespace&clientVars=aHR0cHM6Ly9iYXNlc3BhY2UuaWxsdW1pbmEuY29tL2Rhc2hib2FyZA&redirectMethod=GET#/,Genomics,Specifically focuses on providing several tools for Illumina sequencing data; Several tools available; 30 Day Free Trial,Sequence,Paid,https://support.illumina.com/sequencing/sequencing_software/basespace/documentation.html,Collaborative/User Data Sources,https://www.illumina.com/science/genomics-research/publications.html,BaseSpace is a platform that works with Illumina sequencing data. This platform offers seamless integration with Illumina sequencing machines for easy data transfer and direct analysis.
Cancer Genomics Cloud,https://www.cancergenomicscloud.org/,"Genomics, Proteomics, ","Educational resources through tutorial series, webinars, and guide documentation",Sequence,Paid/Credits,https://docs.cancergenomicscloud.org/docs,"TCGA, CPTAC, TCIA, TARGET, ICGC, CCLE, SGDP, PGP-UK",https://www.cancergenomicscloud.org/collaborate,"The Cancer Genomics Cloud is a computing platform that allows researchers to analyze, store, and share their own data. CGC allows for user-uploaded data as well as large public and controlled cancer data sets, including genomic and imaging data."
ISB Cancer Gateway in the Cloud,https://isb-cgc.appspot.com/,"Genomics, Proteomics, ","Easy to browse data resources; Readily available tools, workflows, and Notebooks for collaborative efforts","Sequence, Pathology Imaging, Radiographic Imaging",Paid/Credits,https://isb-cancer-genomics-cloud.readthedocs.io/en/latest/,"TCGA, TARGET, CCLE, COSMIC",https://isb-cgc.appspot.com/citations/,"The ISB-CRC Platform allows for users to browse data from the Genomic Data Commons and other large resources, including both public and controlled sequencing and imaging data. This platform offers several integrated tools as well as pipelines, workflows, and Notebooks for R and Python researchers."
FireCloud,https://firecloud.terra.bio/#,"Genomics, Proteomics","Large-scale analysis capabilities, Collaborative workspace environment","Sequence, Epigenetic Datasets",Paid/Credits,https://support.terra.bio/hc/en-us/categories/360001399872,"TCGA, 1000 Genomes, AMP PD, Project Baseline, CCDG, CMG, ENCODE, Broad Dataset Workspace Library, TARGET, TOPMed, NeMO, HCA, GP2",,FireCloud is a platform that offers computing resources and workspaces using Broad's tools and pipelines. Researchers can run large scale analyses with user data or TCGA controlled-access data. 
